question,url,Mention Rate,Total Score
education-domain-experiment-rag-version,https://learns.academy/academies/459d78fe-1e44-49ec-b653-30f0c9f8eb62,0.781,72.5
education-domain-experiment-rag-version,https://myteatime.kr/career,0.4667,67.5
education-domain-experiment-rag-version,https://easyedu.net/,0.2095,55.0
education-domain-experiment-rag-version,https://academy.hakwonsin.co.kr/academy/RdG9DL3a/%EC%A0%84%EC%84%9C%ED%98%84%ED%86%A0%EC%9D%B5%ED%95%99%EC%9B%90,0.1048,62.5
education-domain-experiment-rag-version,https://www.easyedu.net/,0.0762,55.0
education-domain-experiment-rag-version,https://academy.prompie.com/academies/detail/dg64shc/%EC%A0%84%ED%9A%A8%EC%9B%90%ED%86%A0%EC%9D%B5%EC%96%B4%ED%95%99%EC%9B%90,0.0476,70.0
education-domain-experiment-rag-version,https://sisasuwon.com/index.php,0.0476,50.0
education-domain-experiment-rag-version,https://www.jhwtoeic.com/location,0.0476,70.5
education-domain-experiment-rag-version,https://aju-easy.com/,0.019,66.0
education-domain-experiment-rag-version,https://class.ziphome.kr/2025/02/12/%EA%B2%BD%EA%B8%B0-%ED%99%94%EC%84%B1%EC%8B%9C-%ED%86%A0%EC%9D%B5%ED%95%99%EC%9B%90-%EC%86%8C%EA%B0%9C-%ED%86%A0%EC%9D%B5%EA%B0%80%EA%B2%A9/amp,0.019,79.5
education-domain-experiment-rag-version,https://sisasuwon.com/bbs/board.php,0.019,55.0
education-domain-experiment-rag-version,https://www.placeview.co.kr/id/MTYyNjc0NTAyNiAg,0.019,55.0
education-domain-experiment-rag-version,https://chochoschool.com/,0.0095,55.0
education-domain-experiment-rag-version,https://learns.academy/academies/1fd8dc7d-cc66-4efb-883d-ec4c36fa800c,0.0095,67.0
education-domain-experiment-rag-version,https://myview676.tistory.com/2639,0.0095,55.0
education-domain-experiment-rag-version,https://play.infokakao.com/936,0.0095,72.0
education-domain-experiment-rag-version,https://www.hackerslive.co.kr/lecture/473309,0.0095,81.0
education-domain-experiment-rag-version,https://www.songpa-easy.co.kr/,0.0095,71.5
education-domain-experiment-rag-version,https://www.ybm.co.kr/ybm_hub/toeic-s.asp,0.0095,71.5
education-domain-experiment-rag-version,https://www.ybmedu.co.kr/,0.0095,55.0
